"Month","Sessions that reached checkout","Sessions that completed checkout","Checkout conversion rate","Month (previous_period)","Sessions that reached checkout (previous_period)","Sessions that completed checkout (previous_period)","Checkout conversion rate (previous_period)","Sessions that reached checkout (previous_period) ","Sessions that completed checkout (previous_period) ","Checkout conversion rate (previous_period) "
"2024-11-01",258,129,0.5,"2023-11-01",257,132,0.5136186770428015,0.38910505836575876,-2.272727272727273,-2.6515151515151425
"2024-12-01",351,183,0.5213675213675214,"2023-12-01",303,160,0.528052805280528,15.841584158415841,14.375,-1.2660256410256252
"2025-01-01",416,237,0.5697115384615384,"2024-01-01",333,193,0.5795795795795796,24.924924924924923,22.797927461139896,-1.7026205659625457
"2025-02-01",386,198,0.5129533678756477,"2024-02-01",397,196,0.49370277078085645,-2.770780856423174,1.0204081632653061,3.899228085016394
"2025-03-01",381,214,0.5616797900262467,"2024-03-01",374,221,0.5909090909090909,1.8716577540106951,-3.167420814479638,-4.9464970724813355
"2025-04-01",491,241,0.4908350305498982,"2024-04-01",436,224,0.5137614678899083,12.614678899082568,7.589285714285714,-4.462467267966251
"2025-05-01",428,233,0.544392523364486,"2024-05-01",370,202,0.5459459459459459,15.675675675675675,15.346534653465346,-0.28453779957434955
"2025-06-01",382,190,0.4973821989528796,"2024-06-01",343,205,0.597667638483965,11.370262390670554,-7.317073170731708,-16.7794662239816
"2025-07-01",442,212,0.4796380090497738,"2024-07-01",382,219,0.5732984293193717,15.706806282722512,-3.1963470319634704,-16.337114403190142
"2025-08-01",481,202,0.41995841995842,"2024-08-01",427,232,0.5433255269320844,12.646370023419204,-12.931034482758621,-22.705928740411505
"2025-09-01",552,226,0.40942028985507245,"2024-09-01",429,229,0.5337995337995338,28.67132867132867,-1.3100436681222707,-23.300740459464595
"2025-10-01",481,244,0.5072765072765073,"2024-10-01",537,252,0.4692737430167598,-10.42830540037244,-3.1746031746031744,8.098208098208104
"2025-11-01",185,101,0.5459459459459459,"2024-11-01",188,96,0.5106382978723404,-1.5957446808510638,5.208333333333333,6.914414414414418
