"New or returning customer","Month","Customers","Orders","Total sales","Month (previous_period)","Customers (previous_period)","Orders (previous_period)","Total sales (previous_period)","Customers (previous_period) ","Orders (previous_period) ","Total sales (previous_period) "
"New","2024-11-01",29,29,6129.54,"2023-11-01",36,36,10551.37,-19.444444444444443,-19.444444444444443,-41.907
"Returning","2024-11-01",97,111,45272.92,"2023-11-01",89,104,46154.49,8.98876404494382,6.730769230769231,-1.91
"Returning","2024-12-01",110,138,68105.25,"2023-12-01",107,136,58768.08,2.803738317757009,1.4705882352941178,15.888
"New","2024-12-01",67,67,13915.76,"2023-12-01",34,34,4440.23,97.05882352941177,97.05882352941177,213.401
"Returning","2025-01-01",161,201,94725.26,"2024-01-01",122,152,71106.57,31.9672131147541,32.23684210526316,33.215
"New","2025-01-01",79,79,17674.51,"2024-01-01",59,59,9597.03,33.898305084745765,33.898305084745765,84.166
"Returning","2025-02-01",121,150,82228.16,"2024-02-01",127,154,71498.33,-4.724409448818897,-2.5974025974025974,15.007
"New","2025-02-01",56,56,12401.55,"2024-02-01",64,64,14396.14,-12.5,-12.5,-13.855
"New","2025-03-01",60,60,8297.82,"2024-03-01",64,64,11021.81,-6.25,-6.25,-24.714
"Returning","2025-03-01",135,169,68340.58,"2024-03-01",144,179,74612.11,-6.25,-5.58659217877095,-8.405
"Returning","2025-04-01",144,179,97683.13,"2024-04-01",139,165,81819.31,3.597122302158273,8.484848484848484,19.388
"New","2025-04-01",70,70,14345.72,"2024-04-01",70,70,18241.21,0,0,-21.355
"New","2025-05-01",84,84,15064.32,"2024-05-01",58,58,10901.89,44.827586206896555,44.827586206896555,38.18
"Returning","2025-05-01",135,158,89329.03,"2024-05-01",137,166,74490.06,-1.4598540145985401,-4.819277108433735,19.92
"New","2025-06-01",50,50,6728.25,"2024-06-01",63,63,15140.31,-20.634920634920636,-20.634920634920636,-55.56
"Returning","2025-06-01",123,150,66626.8,"2024-06-01",146,164,64637.72,-15.753424657534246,-8.536585365853659,3.077
"New","2025-07-01",57,57,12479.98,"2024-07-01",60,60,11699.89,-5,-5,6.667
"Returning","2025-07-01",139,172,83304.36,"2024-07-01",147,176,89291.02,-5.442176870748299,-2.272727272727273,-6.704
"Returning","2025-08-01",138,162,90168.82,"2024-08-01",121,163,97328.26,14.049586776859504,-0.6134969325153374,-7.355
"New","2025-08-01",51,51,15907.29,"2024-08-01",81,81,20099.07,-37.03703703703704,-37.03703703703704,-20.855
"New","2025-09-01",60,60,11453.42,"2024-09-01",80,80,20679.64,-25,-25,-44.614
"Returning","2025-09-01",136,172,125721.97,"2024-09-01",135,165,93240.89,0.7407407407407407,4.242424242424242,34.835
"New","2025-10-01",73,73,10610.23,"2024-10-01",87,87,22526.55,-16.091954022988507,-16.091954022988507,-52.899
"Returning","2025-10-01",153,186,98514.07,"2024-10-01",148,181,94998.54,3.3783783783783785,2.7624309392265194,3.7
"Returning","2025-11-01",69,76,41397.46,"2024-11-01",81,85,40637.32,-14.814814814814815,-10.588235294117647,1.87
"New","2025-11-01",27,27,3604.92,"2024-11-01",25,25,6112.3,8,8,-41.021
