# ----------------------------------------,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
# Traffic acquisition: Session primary channel group (Default Channel Group),,,,,,,,,
# Account: seo,,,,,,,,,
# Property: HBNO.com,,,,,,,,,
# ----------------------------------------,,,,,,,,,
#,,,,,,,,,
# All Users,,,,,,,,,
# Start date: 20250201,,,,,,,,,
# End date: 20251022,,,,,,,,,
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Direct,51431,34439,0.669615601485485,31.8474460928233,8.65314693472808,445040,98,0.00188602204895879,3076.842439
Organic Search,28841,15907,0.551541208695953,58.9873097326722,6.09306196040359,175730,155,0.00533962067889462,6601.175644
Organic Video,14314,6840,0.477853849378231,41.1207908341483,6.24626240044711,89409,390,0.0269666061198826,8876.951079
Unassigned,3334,732,0.219556088782243,45.6310737852429,7.62747450509898,25430,31,0.00929814037192561,722.97
Referral,593,333,0.561551433389544,47.8381112984822,7.09612141652613,4208,4,0.00674536256323777,75.05
Organic Shopping,329,183,0.556231003039513,70.3434650455927,12.337386018237,4059,14,0.0425531914893617,430.61
Organic Social,222,117,0.527027027027027,24.9324324324324,5.12612612612612,1138,0,0,0
Paid Search,63,39,0.619047619047619,81.0952380952381,12.3174603174603,776,1,0.0158730158730158,195
Email,40,30,0.75,127.375,15.4,616,5,0.125,207.78
Cross-network,11,5,0.454545454545454,69.8181818181818,3.54545454545454,39,0,0,0
